Indicator Name,Indicator Code,ZAF,GHA,COD,KEN,ZWE,NGA,total
Urban population,SP.URB.TOTL,63,63,63,63,63,63,378
"Population ages 15-64, female (% of female population)",SP.POP.1564.FE.ZS,63,63,63,63,63,63,378
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,63,63,63,63,63,63,378
"Population ages 0-14, male",SP.POP.0014.MA.IN,63,63,63,63,63,63,378
"Population ages 25-29, female (% of female population)",SP.POP.2529.FE.5Y,63,63,63,63,63,63,378
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,63,63,63,63,63,63,378
"Population ages 0-14, total",SP.POP.0014.TO,63,63,63,63,63,63,378
"Population ages 55-59, female (% of female population)",SP.POP.5559.FE.5Y,63,63,63,63,63,63,378
"Population ages 75-79, female (% of female population)",SP.POP.7579.FE.5Y,63,63,63,63,63,63,378
"Population ages 15-64, female",SP.POP.1564.FE.IN,63,63,63,63,63,63,378
"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,63,63,63,63,63,63,378
GDP per capita (current LCU),NY.GDP.PCAP.CN,63,63,63,63,63,63,378
"Population, male",SP.POP.TOTL.MA.IN,63,63,63,63,63,63,378
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,63,63,63,63,63,63,378
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,63,63,63,63,63,63,378
"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,63,63,63,63,63,63,378
"Population ages 50-54, male (% of male population)",SP.POP.5054.MA.5Y,63,63,63,63,63,63,378
"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,63,63,63,63,63,63,378
"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,63,63,63,63,63,63,378
"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,63,63,63,63,63,63,378
"Population, total",SP.POP.TOTL,63,63,63,63,63,63,378
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,63,63,63,63,63,63,378
"Population ages 65 and above, male",SP.POP.65UP.MA.IN,63,63,63,63,63,63,378
"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y,63,63,63,63,63,63,378
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,63,63,63,63,63,63,378
"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y,63,63,63,63,63,63,378
"Population ages 45-49, female (% of female population)",SP.POP.4549.FE.5Y,63,63,63,63,63,63,378
"Population ages 40-44, male (% of male population)",SP.POP.4044.MA.5Y,63,63,63,63,63,63,378
Population in largest city,EN.URB.LCTY,63,63,63,63,63,63,378
Rural population,SP.RUR.TOTL,63,63,63,63,63,63,378
"Population ages 05-09, female (% of female population)",SP.POP.0509.FE.5Y,63,63,63,63,63,63,378
Age dependency ratio (% of working-age population),SP.POP.DPND,63,63,63,63,63,63,378
"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,63,63,63,63,63,63,378
GDP per capita (current US$),NY.GDP.PCAP.CD,63,63,63,63,63,63,378
"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,63,63,63,63,63,63,378
GDP (constant LCU),NY.GDP.MKTP.KN,63,63,63,63,63,63,378
Population in urban agglomerations of more than 1 million,EN.URB.MCTY,63,63,63,63,63,63,378
GDP (current US$),NY.GDP.MKTP.CD,63,63,63,63,63,63,378
"Population ages 10-14, female (% of female population)",SP.POP.1014.FE.5Y,63,63,63,63,63,63,378
"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,63,63,63,63,63,63,378
"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,63,63,63,63,63,63,378
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,63,63,63,63,63,63,378
GDP (current LCU),NY.GDP.MKTP.CN,63,63,63,63,63,63,378
"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,63,63,63,63,63,63,378
Urban population (% of total population),SP.URB.TOTL.IN.ZS,63,63,63,63,63,63,378
"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,63,63,63,63,63,63,378
"Population ages 40-44, female (% of female population)",SP.POP.4044.FE.5Y,63,63,63,63,63,63,378
"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,63,63,63,63,63,63,378
"Population ages 30-34, female (% of female population)",SP.POP.3034.FE.5Y,63,63,63,63,63,63,378
"Population ages 15-64, total",SP.POP.1564.TO,63,63,63,63,63,63,378
"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,63,63,63,63,63,63,378
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,63,63,63,63,63,63,378
"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,63,63,63,63,63,63,378
